Element,a1,b1,a2,b2,a3,b3,a4,b4,c
Cd,1.92E+01,5.95E-01,1.76E+01,6.91E+00,4.46E+00,2.47E+01,1.60E+00,8.75E+01,5.07E+00
In,1.92E+01,5.48E-01,1.86E+01,6.38E+00,4.29E+00,2.58E+01,2.04E+00,9.28E+01,4.94E+00
Sn,1.92E+01,5.83E+00,1.91E+01,5.03E-01,4.46E+00,2.69E+01,2.47E+00,8.40E+01,4.78E+00
Sb,1.96E+01,5.30E+00,1.90E+01,4.61E-01,5.04E+00,2.79E+01,2.68E+00,7.53E+01,4.59E+00
Te,2.00E+01,4.82E+00,1.90E+01,4.21E-01,6.14E+00,2.85E+01,2.52E+00,7.08E+01,4.35E+00
I,2.01E+01,4.35E+00,1.90E+01,3.81E-01,7.51E+00,2.78E+01,2.27E+00,6.69E+01,4.07E+00
Xe,2.03E+01,3.93E+00,1.90E+01,3.44E-01,8.98E+00,2.65E+01,1.99E+00,6.43E+01,3.71E+00
Cs,2.04E+01,3.57E+00,1.91E+01,3.11E-01,1.07E+01,2.44E+01,1.50E+00,2.14E+02,3.34E+00
Ba,2.03E+01,3.22E+00,1.93E+01,2.76E-01,1.09E+01,2.02E+01,2.70E+00,1.67E+02,2.77E+00
La,2.06E+01,2.95E+00,1.96E+01,2.44E-01,1.14E+01,1.88E+01,3.29E+00,1.33E+02,2.15E+00
Ce,2.12E+01,2.81E+00,1.98E+01,2.27E-01,1.19E+01,1.76E+01,3.33E+00,1.27E+02,1.86E+00
Pr,2.20E+01,2.77E+00,1.97E+01,2.22E-01,1.24E+01,1.68E+01,2.82E+00,1.44E+02,2.06E+00
Nd,2.27E+01,2.66E+00,1.97E+01,2.11E-01,1.28E+01,1.59E+01,2.85E+00,1.38E+02,1.98E+00
Pm,2.33E+01,2.56E+00,1.96E+01,2.02E-01,1.31E+01,1.51E+01,2.88E+00,1.33E+02,2.03E+00
Sm,2.40E+01,2.47E+00,1.94E+01,1.96E-01,1.34E+01,1.44E+01,2.90E+00,1.28E+02,2.21E+00
Eu,2.46E+01,2.39E+00,1.91E+01,1.94E-01,1.38E+01,1.38E+01,2.92E+00,1.23E+02,2.57E+00
Gd,2.51E+01,2.25E+00,1.91E+01,1.82E-01,1.39E+01,1.29E+01,3.55E+00,1.01E+02,2.42E+00
Tb,2.59E+01,2.24E+00,1.82E+01,1.96E-01,1.43E+01,1.27E+01,2.95E+00,1.15E+02,3.58E+00
Dy,2.65E+01,2.18E+00,1.76E+01,2.02E-01,1.46E+01,1.22E+01,2.97E+00,1.12E+02,4.30E+00
Ho,2.69E+01,2.07E+00,1.73E+01,1.98E-01,1.46E+01,1.14E+01,3.64E+00,9.27E+01,4.57E+00
Er,2.77E+01,2.07E+00,1.64E+01,2.24E-01,1.50E+01,1.14E+01,2.98E+00,1.06E+02,5.92E+00
Tm,2.82E+01,2.03E+00,1.59E+01,2.39E-01,1.52E+01,1.10E+01,2.99E+00,1.03E+02,6.76E+00
Yb,2.87E+01,1.99E+00,1.54E+01,2.57E-01,1.53E+01,1.07E+01,2.99E+00,1.00E+02,7.57E+00
Lu,2.89E+01,1.90E+00,1.52E+01,9.99E+00,1.51E+01,2.61E-01,3.72E+00,8.43E+01,7.98E+00
Hf,2.91E+01,1.83E+00,1.52E+01,9.60E+00,1.48E+01,2.75E-01,4.30E+00,7.20E+01,8.58E+00
Ta,2.92E+01,1.77E+00,1.52E+01,9.37E+00,1.45E+01,2.96E-01,4.76E+00,6.34E+01,9.24E+00
W,2.91E+01,1.72E+00,1.54E+01,9.23E+00,1.44E+01,3.22E-01,5.12E+00,5.71E+01,9.89E+00
Re,2.88E+01,1.67E+00,1.57E+01,9.09E+00,1.46E+01,3.51E-01,5.44E+00,5.21E+01,1.05E+01
Os,2.82E+01,1.63E+00,1.62E+01,8.98E+00,1.49E+01,3.83E-01,5.68E+00,4.82E+01,1.10E+01
Ir,2.73E+01,1.59E+00,1.67E+01,8.87E+00,1.56E+01,4.18E-01,5.83E+00,4.50E+01,1.15E+01
Pt,2.70E+01,1.51E+00,1.78E+01,8.81E+00,1.57E+01,4.25E-01,5.78E+00,3.86E+01,1.17E+01
Au,1.69E+01,4.61E-01,1.86E+01,8.62E+00,2.56E+01,1.48E+00,5.86E+00,3.64E+01,1.21E+01
Hg,2.07E+01,5.45E-01,1.90E+01,8.45E+00,2.17E+01,1.57E+00,5.97E+00,3.83E+01,1.26E+01
Tl,2.75E+01,6.55E-01,1.92E+01,8.71E+00,1.55E+01,1.96E+00,5.53E+00,4.58E+01,1.32E+01
Pb,3.11E+01,6.90E-01,1.31E+01,2.36E+00,1.84E+01,8.62E+00,5.97E+00,4.73E+01,1.34E+01
Bi,3.34E+01,7.04E-01,1.30E+01,2.92E+00,1.66E+01,8.79E+00,6.47E+00,4.80E+01,1.36E+01
Po,3.47E+01,7.01E-01,1.55E+01,3.55E+00,1.31E+01,9.56E+00,7.03E+00,4.70E+01,1.37E+01
At,3.53E+01,6.86E-01,1.90E+01,3.97E+00,9.50E+00,1.14E+01,7.43E+00,4.55E+01,1.37E+01
Rn,3.56E+01,6.63E-01,2.13E+01,4.07E+00,8.00E+00,1.40E+01,7.44E+00,4.42E+01,1.37E+01
Fr,3.59E+01,6.46E-01,2.31E+01,4.18E+00,1.21E+01,2.31E+01,2.11E+00,1.51E+02,1.37E+01
